,Unnamed: 0,song name,song singer,song country,song country capital,event year,event country,song lyrics,song music,count participant in the event,amount of participant until this year,victories until this year,number song semi final,place semi final,score semi final,higher point in semi final,smaller point in_semi final,count country semi final,count country vote semi final,count country given semi final,day in week semi final,was in final or not,number song final,place final,score final,higher point in final,smaller point in final,count country final,count country vote final,count country given final,day in week final,song broadcaster,perform on internet,count music,count lyrics,until now be in final,win year before,reached the winning trio
0,0,Karma,Anxhela Peristeri,Albania,Tirana,2021,Rotterdam,Olti Curri,Kledi Bahiti,39,17,0,11,10,112,10,1,17,19,11,Thursday,1,2,21,57,12,1,26,9,14,Saturday,Radio Televizioni Shqiptar,5,1,1,9,0,0
1,1,Technicolour,Montaigne,Australia,Canberra,2021,Rotterdam,"Jess Cerro, Dave Hammer","Jess Cerro, Dave Hammer",39,6,0,5,14,28,12,1,16,6,11,Tuesday,0,-,-,-,-,-,-,-,14,Saturday,Special Broadcasting Service,6,2,2,5,0,0
2,2,Amen,Vincent Bueno,Austria,Vienna,2021,Rotterdam,"Tobias Carshey, Ashley Hicklin, Jonas Thander","Tobias Carshey, Ashley Hicklin, Jonas Thander",39,53,2,5,12,66,7,1,17,12,11,Thursday,0,-,-,-,-,-,-,-,14,Saturday,Österreichischer Rundfunk,4,3,3,47,0,0
3,3,Mata Hari,Efendi,Azerbaijan,Baku,2021,Rotterdam,"Amy van der Wel, Luuk van Beers, Josh Earl, Tony Cornelissen","Amy van der Wel, Luuk van Beers, Josh Earl, Tony Cornelissen",39,13,1,14,8,138,10,1,16,18,13,Tuesday,1,21,20,65,8,1,26,16,16,Saturday,İctimai Televiziya və Radio Yayımları Şirkəti,6,4,4,11,0,0
4,4,The Wrong Place,Hooverphonic,Belgium,Brussels,2021,Rotterdam,"Alex Callier, Charlotte Foret","Alex Callier, Charlotte Foret",39,63,1,11,9,117,10,1,16,15,12,Tuesday,1,4,19,74,7,1,26,17,13,Saturday,Vlaamse Radio- en Televisieomroep,5,2,2,50,0,0
5,5,Growing Up Is Getting Old,VICTORIA,Bulgaria,Sofia,2021,Rotterdam,"Victoria Georgieva, Maya Nalani, Oliver Björkvall, Helena Larsson","Victoria Georgieva, Maya Nalani, Oliver Björkvall, Helena Larsson",39,13,0,13,3,250,12,2,17,19,15,Thursday,1,17,11,170,12,1,26,27,16,Saturday,Bâlgarska Nationalna Televiizija,6,4,4,4,0,0
6,6,Tick-Tock,Albina,Croatia,Zagreb,2021,Rotterdam,"Tihana Buklijaš Bakić, Max Cinnamon",Branimir Mihaljević,39,26,0,10,11,110,12,1,16,17,14,Tuesday,0,-,-,-,-,-,-,-,14,Saturday,Hrvatska Radiotelevizija,5,1,2,18,0,0
7,7,El Diablo,Elena Tsagrinou,Cyprus,Nicosia,2021,Rotterdam,"Thomas Stengaard, Jimmy ""Joker"" Thornfeldt, Laurell Barker, Oxa","Thomas Stengaard, Jimmy ""Joker"" Thornfeldt, Laurell Barker, Oxa",39,37,0,8,6,170,12,1,16,18,13,Tuesday,1,1,16,94,12,1,26,13,13,Saturday,Cyprus Broadcasting Corporation,6,4,4,30,0,0
8,8,omaga,Benny Cristo,Czech Republic,Prague,2021,Rotterdam,Benny Cristo,Filip Vlček,39,9,0,3,15,23,6,1,17,6,12,Thursday,0,-,-,-,-,-,-,-,14,Saturday,Ceská Televize,5,1,1,3,0,0
9,9,Øve Os På Hinanden,Fyr Og Flamme,Denmark,Copenhagen,2021,Rotterdam,Laurits Emanuel,Laurits Emanuel,39,49,3,17,11,89,12,1,17,18,12,Thursday,0,-,-,-,-,-,-,-,14,Saturday,Danmarks Radio,4,1,1,44,0,0
10,10,The Lucky One,Uku Suviste,Estonia,Tallinn,2021,Rotterdam,"Uku Suviste, Sharon Vaughn",Uku Suviste,39,26,1,2,13,58,10,1,17,14,14,Thursday,0,-,-,-,-,-,-,-,13,Saturday,Estonian Public Broadcasting,4,1,2,16,0,0
